LINTCL更新日期,#genre#
宁夏卫视,http://27.148.240.185/PLTV/88888888/224/3221227305/1.m3u8
青海卫视,http://27.148.240.185/PLTV/88888888/224/3221227327/1.m3u8
山东卫视,http://27.148.240.185/PLTV/88888888/224/3221227300/1.m3u8
天津卫视,http://27.148.240.185/PLTV/88888888/224/3221227222/1.m3u8
海南卫视,http://27.148.240.185/PLTV/88888888/224/3221226830/1.m3u8
海南卫视,http://27.148.240.185/PLTV/88888888/224/3221227320/1.m3u8
新疆卫视,http://27.148.240.185/PLTV/88888888/224/3221227332/1.m3u8
云南卫视,http://27.148.240.185/PLTV/88888888/224/3221226900/1.m3u8
西藏卫视,http://27.148.240.185/PLTV/88888888/224/3221227344/1.m3u8
兵团卫视,http://27.148.240.185/PLTV/88888888/224/3221227335/1.m3u8
三沙卫视,http://27.148.240.185/PLTV/88888888/224/3221227072/1.m3u8
体育频道,#genre#
港·澳·台,#genre#
少儿频道,#genre#
卡酷少儿,http://27.148.240.185/PLTV/88888888/224/3221226916/1.m3u8
金鹰卡通,http://27.148.240.185/PLTV/88888888/224/3221227340/1.m3u8
影视频道,#genre#
仅学习勿商用,#genre#
